Mã mặt hàng,Tên mặt hàng,Thành tiền,SL
BOT01,Bột cần tây,626000000,15650
THO06,Trà nhuỵ hoa nghệ tây,592380000,3291
TTC01,Trà gừng,432900000,14430
THO03,Trà hoa cúc trắng,421440000,5268
TTC02,Cam lát,367380000,8164
TMX01,Trà dưỡng nhan,317170000,9062
THO01,Trà nụ hoa nhài trắng,290030000,4462
THO02,Trà hoa đậu biếc,279140000,4105
TMX02,Trà cam sả quế,249888000,6576
SET03,Set 10 gói trà hoa cúc trắng,243900000,1626
SET02,Set 10 gói trà hoa đậu biếc,158712000,1167
THO04,Trà nụ hoa hồng Tây Tạng,150315000,2733
THO05,Trà hoa Atiso,144200000,2884
TMX03,Trà gạo lứt 8 vị,130284000,7238
SET01,Set 10 gói trà nụ hoa nhài trắng,114600000,955
SET05,Set 10 gói trà dưỡng nhan,98475000,1515
SET04,Set 10 gói trà gừng,80000000,1600
SET07,Set 10 gói trà cam sả quế,50410000,710
SET06,Set 10 gói trà gạo lứt 8 vị,31850000,910
