Thang,MaNhomHang,TenNhomHang,MaMatHang,TenMatHang,XacSuat
1,BOT,Bột,BOT01,Bột cần tây,1.0
1,SET,Set trà,SET01,Set 10 gói trà nụ hoa nhài trắng,0.13
1,SET,Set trà,SET02,Set 10 gói trà hoa đậu biếc,0.16
1,SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,0.24
1,SET,Set trà,SET04,Set 10 gói trà gừng,0.21
1,SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,0.22
1,SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,0.12
1,SET,Set trà,SET07,Set 10 gói trà cam sả quế,0.09
1,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,0.23
1,THO,Trà hoa,THO02,Trà hoa đậu biếc,0.22
1,THO,Trà hoa,THO03,Trà hoa cúc trắng,0.27
1,THO,Trà hoa,THO04,Trà nụ hoa hồng Tây Tạng,0.15
1,THO,Trà hoa,THO05,Trà hoa Atiso,0.17
1,THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,0.18
1,TMX,Trà mix,TMX01,Trà dưỡng nhan,0.46
1,TMX,Trà mix,TMX02,Trà cam sả quế,0.34
1,TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,0.36
1,TTC,"Trà củ, quả sấy",TTC01,Trà gừng,0.7
1,TTC,"Trà củ, quả sấy",TTC02,Cam lát,0.44
2,BOT,Bột,BOT01,Bột cần tây,1.0
2,SET,Set trà,SET01,Set 10 gói trà nụ hoa nhài trắng,0.12
2,SET,Set trà,SET02,Set 10 gói trà hoa đậu biếc,0.17
2,SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,0.22
2,SET,Set trà,SET04,Set 10 gói trà gừng,0.2
2,SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,0.22
2,SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,0.11
2,SET,Set trà,SET07,Set 10 gói trà cam sả quế,0.09
2,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,0.24
2,THO,Trà hoa,THO02,Trà hoa đậu biếc,0.21
2,THO,Trà hoa,THO03,Trà hoa cúc trắng,0.27
2,THO,Trà hoa,THO04,Trà nụ hoa hồng Tây Tạng,0.15
2,THO,Trà hoa,THO05,Trà hoa Atiso,0.16
2,THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,0.17
2,TMX,Trà mix,TMX01,Trà dưỡng nhan,0.46
2,TMX,Trà mix,TMX02,Trà cam sả quế,0.33
2,TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,0.38
2,TTC,"Trà củ, quả sấy",TTC01,Trà gừng,0.7
2,TTC,"Trà củ, quả sấy",TTC02,Cam lát,0.4
3,BOT,Bột,BOT01,Bột cần tây,1.0
3,SET,Set trà,SET01,Set 10 gói trà nụ hoa nhài trắng,0.13
3,SET,Set trà,SET02,Set 10 gói trà hoa đậu biếc,0.15
3,SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,0.21
3,SET,Set trà,SET04,Set 10 gói trà gừng,0.23
3,SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,0.21
3,SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,0.12
3,SET,Set trà,SET07,Set 10 gói trà cam sả quế,0.08
3,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,0.25
3,THO,Trà hoa,THO02,Trà hoa đậu biếc,0.22
3,THO,Trà hoa,THO03,Trà hoa cúc trắng,0.28
3,THO,Trà hoa,THO04,Trà nụ hoa hồng Tây Tạng,0.15
3,THO,Trà hoa,THO05,Trà hoa Atiso,0.16
3,THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,0.18
