Ngày,Thành tiền,SL,count_ngay,DTTB,SLTB
1,152331000,2966,12,12694250,247
2,167101000,3171,12,13925083,264
3,164126000,3174,12,13677167,264
4,162108000,3106,12,13509000,259
5,156979000,3014,12,13081583,251
6,157897000,3090,12,13158083,258
7,164286000,3094,12,13690500,258
8,159530000,3080,12,13294167,257
9,160717000,3120,12,13393083,260
10,159223000,3097,12,13268583,258
11,154092000,2995,12,12841000,250
12,158702000,3093,12,13225167,258
13,167995000,3290,12,13999583,274
14,157787000,3061,12,13148917,255
15,158411000,3026,12,13200917,252
16,162071000,3210,12,13505917,268
17,171160000,3262,12,14263333,272
18,157269000,2984,12,13105750,249
19,151178000,2969,12,12598167,247
20,162082000,3130,12,13506833,261
21,147749000,2905,12,12312417,242
22,150584000,2920,12,12548667,243
23,155472000,2989,12,12956000,249
24,156502000,3035,12,13041833,253
25,161352000,3089,12,13446000,257
26,145764000,2832,12,12147000,236
27,147108000,2851,12,12259000,238
28,149378000,2936,12,12448167,245
29,139542000,2682,11,12685636,244
30,138989000,2637,11,12635364,240
31,81589000,1538,7,11655571,220
