Giờ,Thành tiền,SL,count_gio,DTTB,SLTB
8,277961000,5428,360,772114,15
9,271643000,5271,364,746272,14
10,282608000,5471,362,780685,15
11,287811000,5574,362,795058,15
12,314240000,6025,358,877765,17
13,282154000,5422,362,779431,15
14,272792000,5327,362,753569,15
15,279070000,5415,365,764575,15
16,294732000,5704,362,814177,16
17,299143000,5794,363,824085,16
18,325231000,6258,363,895953,17
19,324865000,6247,365,890041,17
20,320402000,6123,363,882650,17
21,323244000,6245,362,892939,17
22,311512000,6023,363,858160,17
23,311666000,6019,364,856225,17
