Thang,MaNhomHang,TenNhomHang,XacSuat
1,BOT,Bột,0.39
1,SET,Set trà,0.34
1,THO,Trà hoa,0.48
1,TMX,Trà mix,0.47
1,TTC,"Trà củ, quả sấy",0.53
2,BOT,Bột,0.33
2,SET,Set trà,0.25
2,THO,Trà hoa,0.51
2,TMX,Trà mix,0.48
2,TTC,"Trà củ, quả sấy",0.48
3,BOT,Bột,0.33
3,SET,Set trà,0.23
3,THO,Trà hoa,0.51
3,TMX,Trà mix,0.54
3,TTC,"Trà củ, quả sấy",0.45
4,BOT,Bột,0.34
4,SET,Set trà,0.23
4,THO,Trà hoa,0.61
4,TMX,Trà mix,0.52
4,TTC,"Trà củ, quả sấy",0.45
5,BOT,Bột,0.35
5,SET,Set trà,0.25
5,THO,Trà hoa,0.59
5,TMX,Trà mix,0.49
5,TTC,"Trà củ, quả sấy",0.45
6,BOT,Bột,0.35
6,SET,Set trà,0.24
6,THO,Trà hoa,0.68
6,TMX,Trà mix,0.65
6,TTC,"Trà củ, quả sấy",0.45
7,BOT,Bột,0.38
7,SET,Set trà,0.23
7,THO,Trà hoa,0.68
7,TMX,Trà mix,0.64
7,TTC,"Trà củ, quả sấy",0.45
8,BOT,Bột,0.37
8,SET,Set trà,0.24
8,THO,Trà hoa,0.59
8,TMX,Trà mix,0.64
8,TTC,"Trà củ, quả sấy",0.45
9,BOT,Bột,0.4
9,SET,Set trà,0.21
9,THO,Trà hoa,0.52
9,TMX,Trà mix,0.54
9,TTC,"Trà củ, quả sấy",0.53
10,BOT,Bột,0.46
10,SET,Set trà,0.21
10,THO,Trà hoa,0.52
10,TMX,Trà mix,0.58
10,TTC,"Trà củ, quả sấy",0.59
11,BOT,Bột,0.54
11,SET,Set trà,0.21
11,THO,Trà hoa,0.51
11,TMX,Trà mix,0.53
11,TTC,"Trà củ, quả sấy",0.68
12,BOT,Bột,0.4
12,SET,Set trà,0.27
12,THO,Trà hoa,0.51
12,TMX,Trà mix,0.49
12,TTC,"Trà củ, quả sấy",0.59
