MaNhomHang,TenNhomHang,MaMatHang,TenMatHang,XacSuat
BOT,Bột,BOT01,Bột cần tây,100.0
SET,Set trà,SET01,Set 10 gói trà nụ hoa nhài trắng,12.48
SET,Set trà,SET02,Set 10 gói trà hoa đậu biếc,15.23
SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,21.12
SET,Set trà,SET04,Set 10 gói trà gừng,20.89
SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,19.77
SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,12.05
SET,Set trà,SET07,Set 10 gói trà cam sả quế,9.37
THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,24.72
THO,Trà hoa,THO02,Trà hoa đậu biếc,22.71
THO,Trà hoa,THO03,Trà hoa cúc trắng,28.74
THO,Trà hoa,THO04,Trà nụ hoa hồng Tây Tạng,15.45
THO,Trà hoa,THO05,Trà hoa Atiso,16.36
THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,18.1
TMX,Trà mix,TMX01,Trà dưỡng nhan,46.46
TMX,Trà mix,TMX02,Trà cam sả quế,35.01
TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,38.22
TTC,"Trà củ, quả sấy",TTC01,Trà gừng,70.43
TTC,"Trà củ, quả sấy",TTC02,Cam lát,43.45
